714,Steve Lubratich
715,Steve Ontiveros
716,Steven Moya
717,Tadahito Iguchi
718,Ted Cieslak
719,Ted Lepcio
720,Ted Pawelek
721,Ted Sepkowski
722,Terry Tiffee
723,Tex Aulds
724,Tex Vache
725,Tim Hyers
726,Tim Naehring
727,Tim Pyznarski
728,Tim Teufel
729,Tim Unroe
730,Toby Atwell
731,Tom Cafego
732,Tom Poquette
733,Tom Saffell
734,Tom Tischinski
735,Tom Umphlett
736,Tom Yewcic
737,Tommie Agee
738,Tommy Pham
739,Tony Boeckel
740,Tony Eusebio
741,Tony Giuliani
742,Tony Kubek
743,Tony La Russa
744,Tony Lupien
745,Tony Muser
746,Tony Roig
747,Tony Solaita
748,Tony Tarasco
749,Trace Coquillette
750,Travis Dawkins
751,Troy Afenir
752,Troy Tulowitzki
753,Tyler Naquin
754,Tyler Saladino
755,Walt Hriniak
756,Walter Sessi
757,Wayne Ambler
758,Wayne Cage
759,Whitey Ock
760,Will Rhymes
761,William Suero
762,Willie Aikens
763,Willie Lozado
764,Willie Tasby
765,Willis Otanez
766,Winston Llenas
767,Xander Bogaerts
768,Xavier Nady
769,Yamid Haad
770,Yoenis Cespedes
